time1,sites,transects,year_intervals,time,times,groups,alphaD,alphaD2,spe_sta,spe_asy,alpha_sta
2,BULL,1,5-year,2014-2018,Post-heat,SESSILE INVERT,1.916922612,0.518499813,0.778704377,0.282724984,1.06142936
2,BULL,2,5-year,2014-2018,Post-heat,SESSILE INVERT,1.722766598,0.213141021,0.775537982,0.058769769,0.834307752
2,BULL,3,5-year,2014-2018,Post-heat,SESSILE INVERT,1.568615918,0.082490196,0.634676394,0.021496913,0.656173307
1,BULL,1,5-year,2009-2013,Ante-heat,FISH,1.029619417,0.467903233,-0.761883936,0.223483494,-0.53840044
1,BULL,2,5-year,2009-2013,Ante-heat,FISH,1.16315081,0.597116644,-0.797174678,0.097624355,-0.699550323
1,BULL,3,5-year,2009-2013,Ante-heat,FISH,1.098612289,0.363706743,-0.731217724,0.858497606,0.127279881
2,BULL,1,5-year,2014-2018,Post-heat,FISH,1.526056303,0.746432482,-0.584005183,0.677536735,0.093531553
2,BULL,2,5-year,2014-2018,Post-heat,FISH,1.280933845,0.823894857,-0.540538131,0.439023822,-0.10151431
2,BULL,3,5-year,2014-2018,Post-heat,FISH,1.481604541,0.589877754,-0.624774552,0.438970416,-0.185804137
1,BULL,1,5-year,2009-2013,Ante-heat,MOBILE INVERT,1.945910149,0.91582078,-0.070683994,0.514483027,0.443799033
1,BULL,2,5-year,2009-2013,Ante-heat,MOBILE INVERT,1.791759469,0.881993025,-0.043936218,0.326081588,0.28214537
1,BULL,3,5-year,2009-2013,Ante-heat,MOBILE INVERT,1.757857918,0.716517078,0.034484637,0.457338704,0.491823341
2,BULL,1,5-year,2014-2018,Post-heat,MOBILE INVERT,1.722766598,0.716423833,-0.32433639,0.265792359,-0.058544032
2,BULL,2,5-year,2014-2018,Post-heat,MOBILE INVERT,1.481604541,0.575150535,-0.221073719,0.164046103,-0.057027615
2,BULL,3,5-year,2014-2018,Post-heat,MOBILE INVERT,1.686398954,0.530137111,-0.256528497,0.649884825,0.393356329
1,BULL,1,5-year,2009-2013,Ante-heat,UNDERSTORY ALGAE,2.653241965,1.471026542,0.572903185,0.592769481,1.165672666
1,BULL,2,5-year,2009-2013,Ante-heat,UNDERSTORY ALGAE,2.653241965,0.995449388,0.433608483,0.607428706,1.041037188
1,BULL,3,5-year,2009-2013,Ante-heat,UNDERSTORY ALGAE,2.282382386,0.447603685,0.504723578,0.467916267,0.972639846
2,BULL,1,5-year,2014-2018,Post-heat,UNDERSTORY ALGAE,2.797281335,1.84194838,-0.184674692,0.599063915,0.414389224
2,BULL,2,5-year,2014-2018,Post-heat,UNDERSTORY ALGAE,2.595254707,1.433284794,-0.062465029,0.670394306,0.607929278
2,BULL,3,5-year,2014-2018,Post-heat,UNDERSTORY ALGAE,2.667228207,1.311414038,-0.249147334,1.158875091,0.909727757
1,BULL,1,6-year,2008-2013,Ante-heat,SESSILE INVERT,2.178532444,0.474655074,0.519526105,0.047759524,0.567285629
1,BULL,2,6-year,2008-2013,Ante-heat,SESSILE INVERT,2.233592221,0.077581498,0.639335406,0.019429897,0.658765304
1,BULL,3,6-year,2008-2013,Ante-heat,SESSILE INVERT,1.84582669,0.03800473,0.641862439,0.010537818,0.652400257
2,BULL,1,6-year,2014-2019,Post-heat,SESSILE INVERT,1.871802177,0.473087358,0.769078999,0.348517921,1.11759692
2,BULL,2,6-year,2014-2019,Post-heat,SESSILE INVERT,1.704748092,0.205650468,0.853741087,0.05483577,0.908576857
2,BULL,3,6-year,2014-2019,Post-heat,SESSILE INVERT,1.504077397,0.074018135,0.658464174,0.021210645,0.67967482
1,BULL,1,6-year,2008-2013,Ante-heat,FISH,1.252762968,0.600194909,-0.789933174,0.46141153,-0.328521645
1,BULL,2,6-year,2008-2013,Ante-heat,FISH,1.252762968,0.62997278,-0.863730827,0.195984103,-0.667746725
1,BULL,3,6-year,2008-2013,Ante-heat,FISH,1.203972804,0.47277005,-0.803793457,1.048605906,0.244812449
2,BULL,1,6-year,2014-2019,Post-heat,FISH,1.540445041,0.584242848,-0.873147762,0.121997102,-0.75115066
2,BULL,2,6-year,2014-2019,Post-heat,FISH,1.343734747,0.667194498,-0.829117158,0.092963588,-0.73615357
2,BULL,3,6-year,2014-2019,Post-heat,FISH,1.386294361,0.545043175,-0.726341105,0.432680795,-0.293660311
1,BULL,1,6-year,2008-2013,Ante-heat,MOBILE INVERT,1.992430165,0.996538463,-0.052577489,0.548302817,0.495725328
1,BULL,2,6-year,2008-2013,Ante-heat,MOBILE INVERT,1.763588592,0.927081559,-0.016025864,0.322709912,0.306684048
1,BULL,3,6-year,2008-2013,Ante-heat,MOBILE INVERT,1.734601055,0.767372759,0.000676759,0.426210735,0.426887494
2,BULL,1,6-year,2014-2019,Post-heat,MOBILE INVERT,1.704748092,0.796513563,-0.392981523,0.297192598,-0.095788924
2,BULL,2,6-year,2014-2019,Post-heat,MOBILE INVERT,1.540445041,0.66810972,-0.295544427,0.3477158,0.052171373
2,BULL,3,6-year,2014-2019,Post-heat,MOBILE INVERT,1.609437912,0.577162383,-0.358575721,0.66459612,0.3060204
1,BULL,1,6-year,2008-2013,Ante-heat,UNDERSTORY ALGAE,2.662587827,1.405658405,0.554819042,0.67755642,1.232375462
1,BULL,2,6-year,2008-2013,Ante-heat,UNDERSTORY ALGAE,2.63905733,0.933167058,0.462036044,0.676613617,1.138649661
1,BULL,3,6-year,2008-2013,Ante-heat,UNDERSTORY ALGAE,2.268683541,0.485073383,0.409660208,0.644478745,1.054138953
2,BULL,1,6-year,2014-2019,Post-heat,UNDERSTORY ALGAE,2.871679625,1.890236641,-0.137357119,0.673043505,0.535686386
2,BULL,2,6-year,2014-2019,Post-heat,UNDERSTORY ALGAE,2.590267165,1.491746007,-0.020182361,0.714863959,0.694681597
2,BULL,3,6-year,2014-2019,Post-heat,UNDERSTORY ALGAE,2.6968769,1.380534843,-0.20028248,1.215551323,1.015268843
1,BULL,1,7-year,2007-2013,Ante-heat,SESSILE INVERT,2.243744593,0.453930311,0.617854421,0.05199806,0.669852481
1,BULL,2,7-year,2007-2013,Ante-heat,SESSILE INVERT,2.228477121,0.070799576,0.648422352,0.02085908,0.669281432
1,BULL,3,7-year,2007-2013,Ante-heat,SESSILE INVERT,1.815289967,0.036944643,0.709313342,0.011117459,0.720430801
2,BULL,1,7-year,2014-2020,Post-heat,SESSILE INVERT,1.882731247,0.483277274,0.832914586,0.361433187,1.194347772
2,BULL,2,7-year,2014-2020,Post-heat,SESSILE INVERT,1.665007764,0.203108601,0.884657852,0.075494948,0.9601528
2,BULL,3,7-year,2014-2020,Post-heat,SESSILE INVERT,1.488077056,0.064052194,0.716765186,0.035458978,0.752224164
1,BULL,1,7-year,2007-2013,Ante-heat,FISH,1.189584067,0.55904398,-0.939718658,0.419549086,-0.520169571
1,BULL,2,7-year,2007-2013,Ante-heat,FISH,1.272965676,0.609000146,-0.912083415,0.207101123,-0.70498229
1,BULL,3,7-year,2007-2013,Ante-heat,FISH,1.189584067,0.515068824,-0.886089845,1.136964169,0.250874325
2,BULL,1,7-year,2014-2020,Post-heat,FISH,1.488077056,0.506071061,-0.939079962,0.135685602,-0.803394361
2,BULL,2,7-year,2014-2020,Post-heat,FISH,1.272965676,0.548776143,-0.905419278,0.090251781,-0.815167497
2,BULL,3,7-year,2014-2020,Post-heat,FISH,1.386294361,0.468324904,-0.894455422,0.390785082,-0.503670341
1,BULL,1,7-year,2007-2013,Ante-heat,MOBILE INVERT,2.00533357,1.016191337,-0.155840987,0.610996578,0.455155591
1,BULL,2,7-year,2007-2013,Ante-heat,MOBILE INVERT,1.815289967,0.989015418,-0.002246609,0.356171228,0.353924619
1,BULL,3,7-year,2007-2013,Ante-heat,MOBILE INVERT,1.742969305,0.792833185,0.044460619,0.463881427,0.508342045
2,BULL,1,7-year,2014-2020,Post-heat,MOBILE INVERT,1.609437912,0.656504192,-0.427851779,0.314755101,-0.113096678
2,BULL,2,7-year,2014-2020,Post-heat,MOBILE INVERT,1.609437912,0.67144372,-0.373416595,0.374586565,0.00116997
2,BULL,3,7-year,2014-2020,Post-heat,MOBILE INVERT,1.609437912,0.633635458,-0.369142447,0.688558311,0.319415864
1,BULL,1,7-year,2007-2013,Ante-heat,UNDERSTORY ALGAE,2.649209701,1.377634088,0.57178811,0.716940063,1.288728173
1,BULL,2,7-year,2007-2013,Ante-heat,UNDERSTORY ALGAE,2.62880083,0.896320096,0.489242473,0.703707381,1.192949854
1,BULL,3,7-year,2007-2013,Ante-heat,UNDERSTORY ALGAE,2.212972934,0.446618966,0.434021959,0.672400344,1.106422303
2,BULL,1,7-year,2014-2020,Post-heat,UNDERSTORY ALGAE,2.898276937,1.919003182,-0.070005021,0.673200502,0.60319548
2,BULL,2,7-year,2014-2020,Post-heat,UNDERSTORY ALGAE,2.708050201,1.476639367,-0.040049082,0.730988516,0.690939434
2,BULL,3,7-year,2014-2020,Post-heat,UNDERSTORY ALGAE,2.708050201,1.390081799,-0.127485967,1.216699617,1.08921365
1,CARP,1,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.512305624,0.245797928,1.293559115,0.252215548,1.545774662
1,CARP,2,3-year,2011-2013,Ante-heat,SESSILE INVERT,1.540445041,0.002186268,0.338364085,0.001026899,0.339390984
1,CARP,3,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.197224577,0.581367407,2.482316426,0.35850628,2.840822706
1,CARP,4,3-year,2011-2013,Ante-heat,SESSILE INVERT,1.791759469,0.534727318,1.066172297,0.391430464,1.457602761
1,CARP,5,3-year,2011-2013,Ante-heat,SESSILE INVERT,1.734601055,0.352743821,0.334548193,0.517839721,0.852387915
1,CARP,6,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.302585093,0.632142144,1.684040427,0.032464968,1.716505395
1,CARP,7,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.120263536,0.193493884,1.283567255,0.198479319,1.482046575
1,CARP,8,3-year,2011-2013,Ante-heat,SESSILE INVERT,1.673976434,0.135703227,0.178931286,0.006711956,0.185643242
2,CARP,1,3-year,2014-2016,Post-heat,SESSILE INVERT,2.512305624,0.614519392,0.558259846,0.384090164,0.942350009
2,CARP,2,3-year,2014-2016,Post-heat,SESSILE INVERT,1.386294361,0.012113106,-0.060186943,0.148082562,0.08789562
2,CARP,3,3-year,2014-2016,Post-heat,SESSILE INVERT,2.079441542,0.551034189,0.937305004,0.610412863,1.547717867
2,CARP,4,3-year,2014-2016,Post-heat,SESSILE INVERT,1.673976434,0.393934916,0.096044067,0.145399092,0.241443159
2,CARP,5,3-year,2014-2016,Post-heat,SESSILE INVERT,1.992430165,0.424352662,0.349916333,1.450333217,1.800249551
2,CARP,6,3-year,2014-2016,Post-heat,SESSILE INVERT,2.197224577,0.592139704,1.045903388,1.187096044,2.232999433
2,CARP,7,3-year,2014-2016,Post-heat,SESSILE INVERT,2.233592221,0.305152063,0.270289555,0.086654362,0.356943917
2,CARP,8,3-year,2014-2016,Post-heat,SESSILE INVERT,1.945910149,0.143096999,0.50088306,0.020047074,0.520930134
1,CARP,1,3-year,2011-2013,Ante-heat,FISH,2.036881927,1.083655561,0.099346285,0.714490824,0.813837109
1,CARP,2,3-year,2011-2013,Ante-heat,FISH,1.386294361,0.314468578,-0.131451438,0.147125808,0.01567437
1,CARP,3,3-year,2011-2013,Ante-heat,FISH,1.897119985,0.821972821,-0.237496198,0.514192509,0.27669631
1,CARP,4,3-year,2011-2013,Ante-heat,FISH,0.84729786,0.314470107,-0.466618656,0.315633919,-0.150984737
1,CARP,5,3-year,2011-2013,Ante-heat,FISH,1.734601055,0.627957367,-0.016976279,0.333892713,0.316916434
1,CARP,6,3-year,2011-2013,Ante-heat,FISH,1.540445041,0.473059888,-0.298570594,0.148378315,-0.150192278
1,CARP,7,3-year,2011-2013,Ante-heat,FISH,1.386294361,0.41728443,0.396807292,1.22653779,1.623345083
1,CARP,8,3-year,2011-2013,Ante-heat,FISH,0.980829253,0.580413383,0.028942609,2.008583479,2.037526088
2,CARP,1,3-year,2014-2016,Post-heat,FISH,1.791759469,0.752964385,-0.293292252,0.937480532,0.64418828
2,CARP,2,3-year,2014-2016,Post-heat,FISH,1.299282984,0.152470421,-0.543580094,0.154519202,-0.389060893
2,CARP,3,3-year,2014-2016,Post-heat,FISH,1.673976434,0.59583662,-0.44224538,0.642212304,0.199966924
2,CARP,4,3-year,2014-2016,Post-heat,FISH,1.098612289,0.397821343,-0.534092516,0.694266492,0.160173977
2,CARP,5,3-year,2014-2016,Post-heat,FISH,1.299282984,0.623617089,-0.373014448,0.68205473,0.309040283
2,CARP,6,3-year,2014-2016,Post-heat,FISH,1.299282984,0.409141896,-0.385254862,0.376216773,-0.00903809
2,CARP,7,3-year,2014-2016,Post-heat,FISH,1.203972804,0.514977227,-0.507917104,0.164127497,-0.343789606
2,CARP,8,3-year,2014-2016,Post-heat,FISH,0.693147181,0.379050658,-0.130328475,0.179003087,0.048674612
1,CARP,1,3-year,2011-2013,Ante-heat,MOBILE INVERT,1.992430165,0.715351731,0.401807013,0.19130634,0.593113353
1,CARP,2,3-year,2011-2013,Ante-heat,MOBILE INVERT,1.540445041,0.520223424,0.272092271,0.080189554,0.352281825
1,CARP,3,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.397895273,0.785642377,0.664803796,0.441426987,1.106230782
1,CARP,4,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.456735773,0.443680267,0.539913834,0.20490948,0.744823313
1,CARP,5,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.302585093,0.685445598,0.197775087,0.617929925,0.815705012
1,CARP,6,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.367123614,1.130538073,0.789010637,0.727218893,1.51622953
1,CARP,7,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.397895273,0.658119646,0.432598522,0.30233142,0.734929942
1,CARP,8,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.335374915,0.580197472,0.551110289,0.408926019,0.960036308
2,CARP,1,3-year,2014-2016,Post-heat,MOBILE INVERT,1.84582669,0.548593958,-0.195995179,0.215840181,0.019845003
2,CARP,2,3-year,2014-2016,Post-heat,MOBILE INVERT,2.079441542,0.504179259,-0.105678426,0.631853442,0.526175015
2,CARP,3,3-year,2014-2016,Post-heat,MOBILE INVERT,2.367123614,1.203777706,0.472415039,0.427817995,0.900233034
2,CARP,4,3-year,2014-2016,Post-heat,MOBILE INVERT,2.302585093,0.558991902,0.097590814,0.115580546,0.213171359
2,CARP,5,3-year,2014-2016,Post-heat,MOBILE INVERT,2.159484249,0.837283981,0.075980638,0.403540534,0.479521173
2,CARP,6,3-year,2014-2016,Post-heat,MOBILE INVERT,2.335374915,0.750036685,0.55509097,1.558052427,2.113143397
2,CARP,7,3-year,2014-2016,Post-heat,MOBILE INVERT,2.367123614,0.607754589,1.124291166,0.456743944,1.58103511
2,CARP,8,3-year,2014-2016,Post-heat,MOBILE INVERT,2.233592221,0.557143042,0.622674117,1.506479731,2.129153849
1,CARP,1,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.908720896,1.898975664,0.848384257,1.903010195,2.751394453
1,CARP,2,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.079441542,1.205758355,0.0208378,0.128135727,0.148973528
1,CARP,3,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,1.203972804,0.495926189,0.234754109,0.085628223,0.320382332
1,CARP,4,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,1.098612289,0.870966388,0.515416757,0.088099849,0.603516605
1,CARP,5,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,1.734601055,1.205279075,0.625746722,0.259343554,0.885090277
1,CARP,6,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,1.098612289,0.707010458,0.32483156,0.146432087,0.471263646
1,CARP,7,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,0.980829253,0.610994052,0.511968885,0.201055609,0.713024495
1,CARP,8,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,1.098612289,0.732804216,0.344911629,1.504034769,1.848946398
2,CARP,1,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.427748236,1.462995101,0.8204766,0.635323282,1.455799882
2,CARP,2,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.397895273,1.438882167,0.277767635,0.253377921,0.531145556
2,CARP,3,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,1.897119985,1.063045982,-0.273312168,0.366161121,0.092848953
2,CARP,4,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,1.386294361,0.52615366,-0.353790997,0.100906871,-0.252884125
2,CARP,5,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.036881927,1.307369213,0.247130512,0.798689769,1.045820281
2,CARP,6,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,1.203972804,0.711400268,-0.313793238,0.199711926,-0.114081311
2,CARP,7,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.159484249,1.495970245,0.0277868,0.837022321,0.864809121
2,CARP,8,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,1.299282984,0.489122243,-0.177678748,0.293201659,0.115522912
1,CARP,1,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.442347035,0.275722408,0.894286478,0.154848453,1.049134932
1,CARP,2,4-year,2010-2013,Ante-heat,SESSILE INVERT,1.504077397,0.001866583,0.157631139,0.001183566,0.158814705
1,CARP,3,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.351375257,0.608672407,1.59517939,0.037162461,1.63234185
1,CARP,4,4-year,2010-2013,Ante-heat,SESSILE INVERT,1.945910149,0.545355376,1.076042469,0.258067952,1.33411042
1,CARP,5,4-year,2010-2013,Ante-heat,SESSILE INVERT,1.832581464,0.426981062,0.403175899,0.170527362,0.57370326
1,CARP,6,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.397895273,0.579815603,1.250635313,0.140502418,1.391137731
1,CARP,7,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.302585093,0.226087299,1.149415749,0.089302859,1.238718608
1,CARP,8,4-year,2010-2013,Ante-heat,SESSILE INVERT,1.791759469,0.143644297,0.435851595,0.006742626,0.442594221
2,CARP,1,4-year,2014-2017,Post-heat,SESSILE INVERT,2.420368129,0.48115813,0.444620403,0.300132132,0.744752536
2,CARP,2,4-year,2014-2017,Post-heat,SESSILE INVERT,1.32175584,0.009227737,0.189423204,0.139738451,0.329161656
2,CARP,3,4-year,2014-2017,Post-heat,SESSILE INVERT,2.302585093,0.586345043,0.992591041,0.635346692,1.627937733
2,CARP,4,4-year,2014-2017,Post-heat,SESSILE INVERT,2.197224577,0.368764178,0.301651374,0.184581944,0.486233317
2,CARP,5,4-year,2014-2017,Post-heat,SESSILE INVERT,1.945910149,0.377947912,0.173723652,0.456550164,0.630273816
2,CARP,6,4-year,2014-2017,Post-heat,SESSILE INVERT,2.420368129,0.543518524,0.996081708,1.329973519,2.326055227
2,CARP,7,4-year,2014-2017,Post-heat,SESSILE INVERT,2.374905755,0.240163244,0.295512195,0.107901232,0.403413428
2,CARP,8,4-year,2014-2017,Post-heat,SESSILE INVERT,1.981001469,0.127998915,0.580181935,0.035297538,0.615479473
1,CARP,1,4-year,2010-2013,Ante-heat,FISH,2.047692843,1.169714384,-0.111333918,0.969429462,0.858095544
1,CARP,2,4-year,2010-2013,Ante-heat,FISH,1.558144618,0.46725073,-0.494060489,0.174837953,-0.319222536
1,CARP,3,4-year,2010-2013,Ante-heat,FISH,1.832581464,0.712378161,-0.286305628,0.406959257,0.120653629
1,CARP,4,4-year,2010-2013,Ante-heat,FISH,0.916290732,0.28231991,-0.61641449,0.422111448,-0.194303041
1,CARP,5,4-year,2010-2013,Ante-heat,FISH,1.609437912,0.638652068,-0.254509088,0.268727397,0.014218308
1,CARP,6,4-year,2010-2013,Ante-heat,FISH,1.504077397,0.349474953,-0.592377556,0.5436836,-0.048693957
1,CARP,7,4-year,2010-2013,Ante-heat,FISH,1.32175584,0.392991197,-0.333618898,0.454002089,0.120383191
1,CARP,8,4-year,2010-2013,Ante-heat,FISH,1.011600912,0.475105865,-0.655838519,0.041012869,-0.61482565
2,CARP,1,4-year,2014-2017,Post-heat,FISH,1.609437912,0.601117506,-0.296917084,0.740109174,0.44319209
2,CARP,2,4-year,2014-2017,Post-heat,FISH,1.252762968,0.129764883,-0.457809168,0.154465902,-0.303343266
2,CARP,3,4-year,2014-2017,Post-heat,FISH,1.658228077,0.733439552,-0.453320169,0.12744505,-0.325875117
2,CARP,4,4-year,2014-2017,Post-heat,FISH,1.386294361,0.45935256,-0.506490912,0.842435592,0.33594468
2,CARP,5,4-year,2014-2017,Post-heat,FISH,1.32175584,0.667167556,-0.232478866,0.767570705,0.535091839
2,CARP,6,4-year,2014-2017,Post-heat,FISH,1.32175584,0.464717685,-0.471497344,0.74313332,0.271635975
2,CARP,7,4-year,2014-2017,Post-heat,FISH,1.178654996,0.589813401,-0.333097297,0.190768354,-0.142328942
2,CARP,8,4-year,2014-2017,Post-heat,FISH,1.011600912,0.444653911,-0.42928151,0.306006303,-0.123275208
1,CARP,1,4-year,2010-2013,Ante-heat,MOBILE INVERT,1.909542505,0.679212069,0.529616497,0.203488625,0.733105123
1,CARP,2,4-year,2010-2013,Ante-heat,MOBILE INVERT,1.609437912,0.591176683,0.082849896,0.496380532,0.579230428
1,CARP,3,4-year,2010-2013,Ante-heat,MOBILE INVERT,2.420368129,0.796884495,0.711253099,0.405763688,1.117016787
1,CARP,4,4-year,2010-2013,Ante-heat,MOBILE INVERT,2.442347035,0.358568003,0.63254004,0.324904645,0.957444685
1,CARP,5,4-year,2010-2013,Ante-heat,MOBILE INVERT,2.351375257,0.58531329,0.326855645,0.701933927,1.028789572
1,CARP,6,4-year,2010-2013,Ante-heat,MOBILE INVERT,2.442347035,1.044115012,0.616001199,1.022039631,1.63804083
1,CARP,7,4-year,2010-2013,Ante-heat,MOBILE INVERT,2.302585093,0.653162949,0.61648466,0.339100482,0.955585142
1,CARP,8,4-year,2010-2013,Ante-heat,MOBILE INVERT,2.302585093,0.468942376,0.617994497,0.50188312,1.119877617
2,CARP,1,4-year,2014-2017,Post-heat,MOBILE INVERT,1.832581464,0.542528361,-0.291551505,0.271194132,-0.020357372
2,CARP,2,4-year,2014-2017,Post-heat,MOBILE INVERT,2.047692843,0.461481871,0.060935043,0.695206584,0.756141628
2,CARP,3,4-year,2014-2017,Post-heat,MOBILE INVERT,2.397895273,1.119713651,0.207851923,0.687945825,0.895797749
2,CARP,4,4-year,2014-2017,Post-heat,MOBILE INVERT,2.251291799,0.594748393,-0.145133955,0.58449661,0.439362655
2,CARP,5,4-year,2014-2017,Post-heat,MOBILE INVERT,2.140066163,0.695492634,0.143036298,0.48257504,0.625611338
2,CARP,6,4-year,2014-2017,Post-heat,MOBILE INVERT,2.277267285,0.768535944,0.417622649,0.499375462,0.916998111
2,CARP,7,4-year,2014-2017,Post-heat,MOBILE INVERT,2.351375257,0.71663782,0.640163976,0.881949938,1.522113914
2,CARP,8,4-year,2014-2017,Post-heat,MOBILE INVERT,2.224623552,0.560375186,0.161287655,0.734993997,0.896281653
1,CARP,1,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,2.833213344,1.680075347,0.344621106,0.453006233,0.797627339
1,CARP,2,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,2.251291799,1.298454683,-0.121011662,0.517967331,0.39695567
1,CARP,3,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,1.32175584,0.633961588,-0.009607855,0.153029669,0.143421813
1,CARP,4,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,0.916290732,0.572860337,0.275337714,0.054856223,0.330193937
1,CARP,5,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,1.658228077,1.159579906,0.341285398,0.236355159,0.577640556
1,CARP,6,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,1.178654996,0.808994417,0.340432499,0.209520068,0.549952567
1,CARP,7,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,0.916290732,0.470667534,0.236857205,0.17997616,0.416833365
1,CARP,8,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,1.098612289,0.736477622,0.182643971,0.868536912,1.051180884
2,CARP,1,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,2.442347035,1.452644941,0.895431946,0.767491518,1.662923464
2,CARP,2,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,2.302585093,1.368446552,0.384278606,0.351903565,0.736182171
2,CARP,3,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,1.704748092,0.92743201,-0.390503073,0.300397678,-0.090105396
2,CARP,4,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,1.386294361,0.529577746,-0.405653276,0.107149113,-0.298504163
2,CARP,5,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,1.981001469,1.297096416,0.199455398,0.932433717,1.131889114
2,CARP,6,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,1.011600912,0.480915453,-0.478502011,0.164648151,-0.31385386
2,CARP,7,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,2.014903021,1.318862482,-0.106282785,0.757535054,0.651252269
2,CARP,8,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,1.386294361,0.582971647,-0.177319576,0.513453689,0.336134113
1,CARP,1,5-year,2009-2013,Ante-heat,SESSILE INVERT,2.501435952,0.267409065,1.026859735,0.166230309,1.193090044
1,CARP,2,5-year,2009-2013,Ante-heat,SESSILE INVERT,1.435084525,0.001887,0.234152858,0.001336334,0.235489192
1,CARP,3,5-year,2009-2013,Ante-heat,SESSILE INVERT,2.360854001,0.608000253,1.019732097,0.316161767,1.335893863
1,CARP,4,5-year,2009-2013,Ante-heat,SESSILE INVERT,2.128231706,0.52825513,0.10974032,0.051864002,0.161604323
1,CARP,5,5-year,2009-2013,Ante-heat,SESSILE INVERT,1.974081026,0.47435868,0.331581404,0.085126508,0.416707912
1,CARP,6,5-year,2009-2013,Ante-heat,SESSILE INVERT,2.360854001,0.530601416,1.1707437,0.285101374,1.455845074
1,CARP,7,5-year,2009-2013,Ante-heat,SESSILE INVERT,2.433613355,0.266272034,1.16479101,0.17036416,1.33515517
1,CARP,8,5-year,2009-2013,Ante-heat,SESSILE INVERT,1.974081026,0.124762984,0.480344508,0.012418037,0.492762545
2,CARP,1,5-year,2014-2018,Post-heat,SESSILE INVERT,2.451005098,0.479276523,0.517701879,0.227790056,0.745491934
2,CARP,2,5-year,2014-2018,Post-heat,SESSILE INVERT,1.223775432,0.007378208,0.317543532,0.117527311,0.435070843
2,CARP,3,5-year,2014-2018,Post-heat,SESSILE INVERT,2.32238772,0.604966259,0.749882436,0.30756719,1.057449626
2,CARP,4,5-year,2014-2018,Post-heat,SESSILE INVERT,2.261763098,0.328132693,0.36038483,0.197584539,0.55796937
2,CARP,5,5-year,2014-2018,Post-heat,SESSILE INVERT,2.00148,0.420581515,0.194834208,0.162393767,0.357227975
2,CARP,6,5-year,2014-2018,Post-heat,SESSILE INVERT,2.501435952,0.495138257,0.446875247,0.19137328,0.638248527
2,CARP,7,5-year,2014-2018,Post-heat,SESSILE INVERT,2.379546134,0.218586611,0.420795748,0.074653226,0.495448974
2,CARP,8,5-year,2014-2018,Post-heat,SESSILE INVERT,2.054123734,0.134164597,0.731694886,0.033763385,0.76545827
1,CARP,1,5-year,2009-2013,Ante-heat,FISH,2.128231706,1.236744843,-0.125532316,0.990002864,0.864470548
1,CARP,2,5-year,2009-2013,Ante-heat,FISH,1.386294361,0.354707815,-0.626593462,0.162572825,-0.464020637
1,CARP,3,5-year,2009-2013,Ante-heat,FISH,1.824549292,0.641280737,-0.515209825,0.724983244,0.209773419
